GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mywebapp,com.mycompany.student.security,AuthRequest,109,15,22,0,2,3,18,3,7,3
mywebapp,com.mycompany.student.security,JWTService,102,0,4,0,24,0,12,0,10,0
mywebapp,com.mycompany.student.security,JwtAuthFilter,74,0,12,0,18,0,8,0,2,0
mywebapp,com.mycompany.student.service,StudentService,197,4,2,0,49,1,11,1,10,1
mywebapp,com.mycompany.student.service,UserService,23,0,0,0,7,0,2,0,2,0
mywebapp,com.mycompany.student.user,UserInfo,48,188,24,16,0,8,21,15,1,15
mywebapp,com.mycompany.student.user,UserInfoUserDetailsService,25,0,0,0,6,0,3,0,3,0
mywebapp,com.mycompany.student.user,UserInfoUserDetails,40,0,0,0,14,0,8,0,8,0
mywebapp,com.mycompany,MyWebAppApplication.SwaggerConfig,27,0,0,0,6,0,3,0,3,0
mywebapp,com.mycompany,MyWebAppApplication,14,0,0,0,5,0,2,0,2,0
mywebapp,com.mycompany.student.healthindicator,CustomHealthIndicator,0,32,0,2,0,10,0,4,0,3
mywebapp,com.mycompany.student.email,EmailAspect,48,70,0,0,19,29,2,5,2,5
mywebapp,com.mycompany.student.controller,StudentController,0,131,0,2,0,32,0,10,0,9
mywebapp,com.mycompany.student.controller,UserController,0,43,0,0,0,11,0,3,0,3
mywebapp,com.mycompany.student.listener,MessageListener,0,20,0,0,0,7,0,3,0,3
mywebapp,com.mycompany.student.config,JmsConfig,0,31,0,0,0,10,0,3,0,3
mywebapp,com.mycompany.student.config,SecurityConfig,147,0,0,0,22,0,10,0,10,0
mywebapp,com.mycompany.student.entity,StudentDTO,185,108,46,0,0,21,26,15,3,15
mywebapp,com.mycompany.student.entity,Student,197,38,46,0,0,6,27,11,4,11
